text,label
"#BidensACoward  A coward indeed, Biden wants a virtual debate, so that way he can read all the answers from a teleprompter, plus he doesn't want people to notice that he has dementia, the concerns about Covid are just an excuse. https://t.co/hRTDuWYXlH",1
"@PandemicMy about how people they dislike 'use people for their purposes', but that is precisely what's happening here. These victims aren't people to them: they're EVIDENCE. They're OBJECTS. They're TALKING POINTS. They're all of those things before there's even a consideration that 5/",0
EXCLUSIVE: Workers and their worried spouses reveal to The Daily Beast that Disney is not only underreporting its COVID cases but clearing COVID-positive employees to return to work https://t.co/Y2v5gbOY6b,0
We need direct Pandemic Relief Money Now! @Transition46 https://t.co/wM7vVxgC5R,0
"Refer to the thread here for explanation of the research of @rj_gallagher and colleagues into the FAIRVIEW program.
https://t.co/LqRT80G2Dw https://t.co/fBCDCnxO32",0
I have a night off from the hospital. As I’m on my couch with my dog I can’t help but think of the Covid patients the last few days. The ones that stick out are those who still don’t believe the virus is real. The ones who scream at you for a magic medicine and that Joe Biden is,0
"@SenTedCruz They should convict tRump first, then eject you and Hawley. Then they can pick up COVID relief.",0
"People across the country are going hungry, COVID is set to explode, and Mitch McConnell dismissed the Senate last week.

I don’t know how these people can sleep at night. I really don’t.",0
@novaccineforme Puts a fresh spin on “take Covid and shove it up your ass” 🤣😂,0
"Do not vote as a zombie.

Think and vote for the presidential candidate who can help us get through a pandemic and an economic recession. Just watch this video:

https://t.co/6PV1J7uDOH",0
"Today was a very, very odd day

I testified before @senatehomeland

They held a hearing on hydroxychloroquine.

Yup, HCQ

In the middle of the worst surge of pandemic

HCQ

It was clear how our information architecture shapes questions of science and medicine of COVID
 
A thread",0
"Americans are hurting and instead of working in good faith to negotiate a realistic deal to help those in need, @SpeakerPelosi is just playing politics. 

She’s preventing a deal to help Americans so she can fund her wishlist of liberal projects unrelated to this pandemic. https://t.co/qefEyCaA9w",0
"3,963 people died from Covid today. The insurrection, orchestrated by Donald, was also a super-spreader event.",0
"Nearly a third of the nurses who've died of coronavirus in the US are Filipino, even though Filipino nurses make up just 4% of the nursing population nationwide, according to a recent report from the largest nurses' union in the country. https://t.co/KWdVEOVZSC",0
“Don’t be afraid of Covid” should be the end of Trump’s presidency and the Republican Party.,0
"Just got call from @SenSherrodBrown that today’s Covid test is negative. He did this to make sure it’s safe to come home. Senate doctor told him that, had it been positive, he would not have been allowed to vote tonight. Wonder (not really) how many GOP senators got tested.",0
"A new study finds that 20% of the country's new COVID cases came from the Sturgis motorcycle rally. Ass, grass, or refusin' to wear a mask: no one rides for free.",0
"Joe Biden wants voting to be easy because he knows he doesn’t have the enthusiasm. 

Trump supporters will crawl over COVID-infected glass to vote in person to ensure the election is legitimate.  

Can’t you see the difference?",1
"This is one of those times when I wish I had more followers. A friend, who’s is a Respiratory Therapist on a Covid ward posted this thread on FB. Is heartbreaking. Take a minute and read it. Let’s thank them!!  @Cleavon_MD @arghavan_salles #covid19 #HealthcareHeroes https://t.co/UbfK3m66KX",0
"""Don't be afraid of COVID-19""? 

@realDonaldTrump, tell that to all the Americans who - unlike you - DON'T have access to the best healthcare in the world, funded entirely by taxpayers. https://t.co/izBd0xbV8L",0
"Last week we reported Dr. Birx was concerned Atlas is feeding Trump bad information. Earlier today, NBC reported CDC Dir. Redfield has similar concerns. Moments ago, Fauci suggested there is an ""outlier"" on the task force. More on @CNN at top of hour.",0
"@drdavidsamadi They are at higher risk of having problems, period! Not from Covid.",1
So to sum up: The West is burning; the Arctic is melting; the National Hurricane Center is tracking eight major systems; and the WHO reports the largest single-day increase of coronavirus cases globally.”- Wapo. Trump supporters: is this all a hoax?,0
"Giuliani is the latest member of Trump’s inner circle to contract Covid-19, who acknowledged receiving at least 2 of the same drugs the president received. He even conceded that his “celebrity” status had given him access to care that others did not have. https://t.co/5yAMdqiguS",0
"So, the people who said you had to stay locked down for the better part of seven months because every life is worth saving from Covid are now hoping two people die from Covid.",1
@GovWhitmer #COVID19 numbers https://t.co/7BSE3TxSK3,0
I brought my father to the ER with posible covid diagnosis. I just had “the talk” with the doctor about saying goodbye before he goes upstairs. I don’t wish this to my worst enemy. 1/2,0
Teachers in Bosnian village build open-air classroom to protect children from COVID-19 https://t.co/D6wZ3v2SzB https://t.co/fUEMXk106e,0
Megachurch Pastor Contracts COVID-19 After Suing to Force School Reopenings https://t.co/yav0RcTyjV #SmartNews,0
Wake Forest Baptist Medical Center's 'Victory Lane' honors recovered COVID-19 patients https://t.co/14lIJqs5Qv #COVID19 @wakehealth,0
"“Mississippi Gov: We Refuse to Participate in Any Kind of Biden COVID-19 Lockdown.” 
GOOD!  https://t.co/rUcnIVuj6A",1
"The Senate focusing on Amy Coney Barrett’s nomination instead of coronavirus relief is a complete abomination. And more than enough reason to vote Lapdog Lindsey, Moscow Mitch and the rest of these criminals out of office.",0
Has Trump spoken to Putin since he was diagnosed with COVID?,0
"Crazy to look at San Francisco (pop. 880k) versus North Dakota (pop. 760k) right now. 

San Francisco county, an urban area where most people wear masks, has reported 14k Covid cases. 

North Dakota, which resisted mask mandates for months, has 60k cases.",0
Florida reveals COVID vaccine form for ‘extremely vulnerable’ - Orlando Sentinel https://t.co/deDtpaxpW6,0
"Kelly Loeffler profited from Senate insider info:
• Selling millions in stock after private Covid briefing in Jan.
• Selling travel stock 1 day before travel restrictions started.
• Purchasing stock in PPE manufacturers and teleworking.

Rev Raphael Warnock - US Senate GA.",0
Orthodox rabbi warns COVID-19 vaccine will make you gay https://t.co/Sbf8c8bEZT https://t.co/0TvsjTEbIU,1
"Mitch McConnell is responsible for your unemployment ending 22 days from now, while we are still in the throes of a pandemic. Please RT.",0
"The US could see as many as 400,000 deaths from coronavirus this winter if Americans don't follow public health mitigation guidelines, Dr. Anthony Fauci warns. https://t.co/RTOJEVNOrs",0
