screen_name,id
SenSherrodBrown,43910797
SenatorCantwell,117501995
SenatorCardin,109071031
SenatorCarper,249787913
SenBobCasey,171598736
SenFeinstein,476256944
SenAmyKlobuchar,22044727
SenatorMenendez,18695134
SenSanders,29442313
SenStabenow,76456274
SenatorTester,515822213
SenWhitehouse,242555999
SenJohnBarrasso,202206694
SenatorWicker,264219447
SenAlexander,76649729
SenatorCollins,19726613
JohnCornyn,13218102
SenatorDurbin,247334603
SenatorEnzi,291756142
GrahamBlog,14845376
InhofePress,20546536
McConnellPress,339822881
SenJeffMerkley,29201047
SenJackReed,486694111
SenatorRisch,1096059529
SenPatRoberts,75364211
SenatorShaheen,109287731
SenatorTomUdall,60828944
MarkWarner,7429102
gillibrandny,899978622416695297
ChrisCoons,15324851
Sen_JoeManchin,234374703
Robert_Aderholt,76452765
SenatorBaldwin,1074518754
RepKarenBass,239949176
SenatorBennet,224285242
RepGusBilirakis,26051676
RepRobBishop,148006729
SanfordBishop,249410485
MarshaBlackburn,278145569
BlumenauerMedia,137823987
SenBlumenthal,278124059
RoyBlunt,21269970
JohnBoozman,5558312
RepKevinBrady,19926675
RepMoBrooks,237299871
VernBuchanan,20467163
RepLarryBucshon,234812598
michaelcburgess,15751083
SenatorBurr,21157904
GKButterfield,432676344
KenCalvert,22545491
SenCapito,193794406
RepAndreCarson,199325935
JudgeCarter,18030431
SenBillCassidy,1017500185356853248
USRepKCastor,1880674038
RepSteveChabot,237750442
RepJudyChu,193732179
RepCicilline,462143773
RepYvetteClarke,240812994
repcleaver,163570705
WhipClyburn,188019606
RepCohen,162069635
TomColeOK04,23124635
ConawayTX11,295685416
GerryConnolly,78445977
repjimcooper,22523087
RepJimCosta,245451804
RepJoeCourtney,85396297
MikeCrapo,600463589
RepRickCrawford,233693291
RepCuellar,210926192
RepDannyDavis,789244177
RepSusanDavis,432771620
RepPeterDeFazio,252249233
RepDianaDeGette,28599820
rosadelauro,140519774
DesJarlaisTN04,235312723
RepTedDeutch,137794015
MarioDB,37094727
RepLloydDoggett,153944899
USRepMikeDoyle,39249305
RepJeffDuncan,240393970
RepEliotEngel,164007407
RepAnnaEshoo,249348006
RepChuck,235190657
RepBillFlores,237312687
JeffFortenberry,18805303
virginiafoxx,16256269
RepMarciaFudge,153486399
RepGaramendi,88806753
SenCoryGardner,235217558
RepBobGibbs,234822928
replouiegohmert,22055226
RepGosar,240760644
RepKayGranger,161743731
ChuckGrassley,10615232
RepSamGraves,29766367
RepTomGraves,190328374
RepAlGreen,156333623
RepMGriffith,234057152
RepRaulGrijalva,28602948
RepGuthrie,1908143071
RepAndyHarrisMD,960962340
RepHartzler,237763317
RepHastingsFL,2433737761
MartinHeinrich,1099199839
HerreraBeutler,242926427
RepBrianHiggins,33576489
jahimes,31611298
maziehirono,92186819
SenJohnHoeven,382791093
LeaderHoyer,22012091
RepHuizenga,233949261
JacksonLeeTX18,80612021
RepBillJohnson,211530910
RepEBJ,168502762
RepHankJohnson,24745957
SenRonJohnson,233737858
Jim_Jordan,18166778
RepMarcyKaptur,581141508
USRepKeating,232992031
MikeKellyPA,935368364
RepRonKind,112740986
RepPeteKing,18277655
SteveKingIA,48117116
RepKinzinger,219429281
RepDLamborn,584012853
JimLangevin,18909919
SenatorLankford,225921757
RepRickLarsen,404132211
RepJohnLarson,50452197
boblatta,15394954
SenatorLeahy,242836537
RepBarbaraLee,248735463
SenMikeLee,88784440
RepLipinski,1009269193
daveloebsack,510516465
RepZoeLofgren,267938462
USRepLong,1444015610
NitaLowey,221792092
RepFrankLucas,242772524
RepBlaine,1849261916
repbenraylujan,19318314
RepStephenLynch,310310133
RepMaloney,258900199
RepKenMarchant,23976316
SenMarkey,21406834
DorisMatsui,38254095
GOPLeader,19739126
RepMcCaul,26424123
RepMcClintock,50152441
BettyMcCollum04,516880804
RepMcGovern,242426145
PatrickMcHenry,27676828
RepMcKinley,240427862
cathymcmorris,17976923
RepMcNerney,385429543
RepGregoryMeeks,22812754
RepGwenMoore,22669526
JerryMoran,18632666
lisamurkowski,18061669
SenMurphyOffice,2853793517
PattyMurray,293131808
RepJerryNadler,40302336
gracenapolitano,161411080
RepRichardNeal,442824717
EleanorNorton,23600262
RepDevinNunes,344972339
RepPeteOlson,20053279
CongPalazzo,299883942
FrankPallone,31801993
BillPascrell,74508260
RandPaul,216881337
SpeakerPelosi,15764644
RepPerlmutter,20552026
SenGaryPeters,236511574
chelliepingree,14984637
senrobportman,18915145
congbillposey,25086658
RepDavidEPrice,155669457
RepMikeQuigley,56864092
RepTomReed,252819323
RepRichmond,267854863
RepMarthaRoby,224294785
DrPhilRoe,52503751
RepHalRogers,550401754
RepMikeRogersAL,33977070
RepRoybalAllard,479872233
SenRubioPress,229966028
Call_Me_Dutch,305620929
RepBobbyRush,305216911
RepTimRyan,13491312
Kilili_Sablan,926446070812602371
RepSarbanes,364415553
SteveScalise,1209417007
janschakowsky,24195214
RepAdamSchiff,29501253
RepSchrader,20545793
SenSchumer,17494010
RepDavid,229197216
AustinScottGA08,234797704
repdavidscott,168673083
BobbyScott,161791703
SenatorTimScott,217543151
JimPressOffice,851621377
RepJoseSerrano,33563161
RepTerriSewell,381152398
SenShelby,21111098
BradSherman,30216513
RepShimkus,15600527
CongMikeSimpson,76132891
RepSires,18696134
RepAdamSmith,58928690
RepAdrianSmith,296245061
